Subject,URL,Título,Fecha de Publicación,Autor,Medio,Resumen,Actores Mencionados,Sentimiento hacia CONADE/Cortés,Tipo de Contenido,Relevancia,Error
https://www.poresto.com/opinion/2023/7/4/el-siguiente-paso-de-la-4t.html,https://www.poresto.com/opinion/2023/7/4/el-siguiente-paso-de-la-4t.html,El siguiente paso de la 4T,2023-07-04,Carlos Mena Baduy,PorEsto,"El artículo analiza los aciertos económicos de la 4T, como la estabilidad de la deuda pública y los subsidios sociales. Sin embargo, argumenta que estas medidas no resuelven el problema de la desigualdad, originado por la alta informalidad en la economía. El autor concluye que el siguiente paso debe ser enfrentar la informalidad para lograr un desarrollo sostenible.","Carlos Mena Baduy, Infonavit",NO_APLICA,COLUMNA_OPINION,4,
https://www.poresto.com/opinion/2023/2/16/la-tragedia-de-los-socios-minoritarios.html,https://www.poresto.com/opinion/2023/2/16/la-tragedia-de-los-socios-minoritarios.html,La tragedia de los socios minoritarios,2023-02-16,Carlos Mena Baduy,PorEsto,"El artículo de opinión de Carlos Mena Baduy aborda los problemas y la falta de protección legal que enfrentan los socios minoritarios en las empresas. Se discute cómo la legislación actual es insuficiente para salvaguardar sus derechos, lo que a menudo resulta en conflictos familiares y fraudes, y se aboga por una reforma legal para agilizar la justicia y fomentar la inversión.",Carlos Mena Baduy,NO_APLICA,COLUMNA_OPINION,3,
https://www.poresto.com/opinion/2024/2/21/agenda-economica-yucatan-2024.html,https://www.poresto.com/opinion/2024/2/21/agenda-economica-yucatan-2024.html,Agenda Económica de Yucatán 2024,2024-02-21,desconocido,PorEsto,"El artículo presenta un análisis sobre la agenda económica de Yucatán para el año 2024, destacando la importancia de la colaboración entre el sector empresarial y el gobierno para impulsar el desarrollo. Se mencionan diversos temas como la atracción de inversiones, la mejora de la infraestructura y la necesidad de políticas públicas que fomenten la competitividad.",,NO_APLICA,COLUMNA_OPINION,3,
https://www.poresto.com/opinion/2024/8/15/-la-nueva-vision-para-la-economia-de-yucatan-avanzando-con-esperanza-.html,https://www.poresto.com/opinion/2024/8/15/-la-nueva-vision-para-la-economia-de-yucatan-avanzando-con-esperanza-.html,La nueva visión para la economía de Yucatán: avanzando con esperanza,2024-08-15,Carlos Mena Baduy,PorEsto,"El artículo es una columna de opinión sobre la economía de Yucatán. El autor, Carlos Mena Baduy, analiza el crecimiento económico desigual en el estado y propone una nueva visión para fomentar un desarrollo más inclusivo, centrado en el apoyo a las pequeñas y medianas empresas (pymes), el desarrollo de infraestructura y la promoción del consumo local.","Carlos Mena Baduy, Infonavit",NO_APLICA,COLUMNA_OPINION,1,
https://grillodeyucatan.com/2025/02/20/irak-greene-la-federica-quijano-del-imdut-es-aviador-pues-solo-viaja-y-trabaja-poco/,https://grillodeyucatan.com/2025/02/20/irak-greene-la-federica-quijano-del-imdut-es-aviador-pues-solo-viaja-y-trabaja-poco/,"Irak Greene, la “Federica Quijano” del IMDUT: Es ‘aviador’, pues solo viaja y trabaja poco",2025-02-20,admin,Grillo de Yucatán,"El artículo acusa a Irak Greene, director del IMDUT, de ser un 'aviador' por ausentarse de sus funciones para estar en la Ciudad de México con su hermano Rommel Pacheco en la CONADE. Se le apoda la 'Federica Quijano' del IMDUT por sus constantes viajes, los cuales, según la nota, son para visitar a su pareja, quien también trabaja en la CONADE. La publicación critica que Greene no atiende los problemas de la zona metropolitana y solo se dedica a organizar tianguis para su beneficio.","Irak Greene, Rommel Pacheco, CONADE",NEGATIVO,ATAQUE_DIRECTO,7,
https://www.elprincipal.com.mx/imprimir.php?id=NjE4MzA=,https://www.elprincipal.com.mx/imprimir.php?id=NjE4MzA=,Hermano de Rommel Pacheco surte guayaberas a la Conade.,2025-04-30,desconocido,El Principal,"El artículo denuncia que Irak Greene Marrufo, hermano de Rommel Pacheco, titular de la CONADE, es proveedor de guayaberas para dicha dependencia a través de su empresa 'La Elegancia de Yucatán'. Se cuestiona el posible conflicto de interés y la legalidad de estos negocios entre familiares, señalando que podría ser un acto de corrupción.","Rommel Pacheco, Irak Greene, CONADE",NEGATIVO,FILTRACION,9,
https://grillodeyucatan.com/2025/06/27/victor-caballero-y-su-hija-hunden-a-rommel-pacheco-con-su-pesima-consultoria/,https://grillodeyucatan.com/2025/06/27/victor-caballero-y-su-hija-hunden-a-rommel-pacheco-con-su-pesima-consultoria/,VÍCTOR CABALLERO Y SU HIJA HUNDEN A ROMMEL PACHECO CON SU PÉSIMA CONSULTORÍA,2025-06-27,desconocido,Grillo de Yucatán,"El artículo detalla cómo la consultoría de Víctor Caballero y su hija, Daniela Caballero, ha afectado negativamente la campaña de Rommel Pacheco. Se mencionan los altos costos de la consultoría y la falta de resultados positivos, lo que ha generado descontento dentro del equipo de Pacheco.","Rommel Pacheco, Daniela Caballero",NO_APLICA,ATAQUE_DIRECTO,8,
https://www.elprincipal.com.mx/detalleNota.php?id=NjMyMDY=,https://www.elprincipal.com.mx/detalleNota.php?id=NjMyMDY=,¿El regreso de Sergio Vadillo Lora?,2025-08-16,Por EL PRINCIPAL,El Principal,"El artículo analiza el posible regreso a la política de Sergio Vadillo Lora, exdirigente del PRI en Mérida. Se mencionan sus recientes apariciones públicas y sus supuestos vínculos con Morena a través de Rommel Pacheco, titular de la CONADE.","Sergio Vadillo, Rommel Pacheco, Irak Greene",NEUTRO,COLUMNA_OPINION,7,
https://grillodeyucatan.com/2025/06/08/vadillo-sale-del-closet-politico-va-rumbo-a-morena-la-comunidad-lgtb-su-trampolin/,https://grillodeyucatan.com/2025/06/08/vadillo-sale-del-closet-politico-va-rumbo-a-morena-la-comunidad-lgtb-su-trampolin/,Vadillo sale del closet… político… va rumbo a Morena… la comunidad LGTB+ su trampolín,2025-06-08,desconocido,Grillo de Yucatán,"El artículo especula sobre las intenciones políticas de Sergio Vadillo tras su participación en la marcha del orgullo gay, sugiriendo que podría ser un movimiento oportunista para unirse a Morena. Se le compara con Rommel Pacheco, acusándolo de usar a la comunidad LGTB+ como trampolín político.","Sergio Vadillo, Rommel Pacheco, CONADE",NEGATIVO,COLUMNA_OPINION,6,
https://www.elprincipal.com.mx/detalleNota.php?id=NjMzMjE=,https://www.elprincipal.com.mx/detalleNota.php?id=NjMzMjE=,EL INDISCRETO,2025-08-25,EL INDISCRETO,El Principal,"El artículo aborda el resurgimiento político de Sergio Vadillo, quien presuntamente coordinará los medios para la campaña de Rommel Pacheco a la alcaldía de Mérida. Critica a Pacheco por aliarse con ex-priístas desprestigiados, augurando un futuro complicado para su candidatura y advirtiendo que las estrategias de ataque y el derroche de dinero no son efectivas para ganar el favor del electorado yucateco.","Rommel Pacheco, Sergio Vadillo",NEGATIVO,COLUMNA_OPINION,7,
